Country,Units,Scale,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Estimates Start After
Angola,U.S. dollars,Units,452.677,652.11,619.697,841.42,951.969,"1,222.04","1,862.42","2,561.86","3,099.09","4,081.69","3,146.80","3,641.44","4,716.25","5,245.02","5,436.52","5,625.74","4,354.92","3,676.83","4,300.10","3,465.06","2,805.26",2017
Benin,U.S. dollars,Units,552.369,512.9,518.071,574.524,711.107,798.382,823.24,856.1,966.318,"1,125.30","1,087.58","1,037.38","1,130.07","1,145.87","1,251.23","1,291.74","1,076.91","1,086.99","1,136.19","1,240.84","1,218.28",2020
Botswana,U.S. dollars,Units,"3,350.85","3,457.84","3,260.58","3,165.09","4,306.45","4,994.99","5,465.34","5,402.85","5,633.94","5,601.71","5,179.67","6,359.64","7,497.57","6,818.89","6,919.46","7,406.85","6,380.27","6,982.95","7,303.67","7,556.09","7,247.45",2020
Burkina Faso,U.S. dollars,Units,300.311,255.082,267.099,294.457,374.534,418.187,458.187,473.475,535.125,643.334,623.497,648.365,751.041,758.48,787.481,793.051,653.393,688.061,734.737,813.468,786.929,2020
Burundi,U.S. dollars,Units,133.412,130.225,127.349,116.392,108.066,122.381,148.71,164.575,170.174,195.79,208.78,231.549,247.097,250.118,255.319,273.133,304.243,281.062,291.859,271.289,261.294,2016
Cabo Verde,U.S. dollars,Units,"1,541.83","1,399.09","1,387.33","1,501.55","1,935.48","2,188.00","2,298.40","2,571.82","3,110.45","3,636.13","3,416.22","3,312.04","3,672.58","3,388.88","3,557.87","3,532.99","2,996.36","3,082.16","3,239.07","3,963.62","3,947.49",2018
Cameroon,U.S. dollars,Units,765.544,660.382,687.404,756.14,949.02,"1,089.42","1,101.55","1,147.50","1,277.67","1,439.39","1,409.94","1,353.41","1,464.89","1,404.41","1,527.77","1,604.63","1,382.65","1,412.87","1,468.93","1,585.96","1,533.16",2019
Central African Republic,U.S. dollars,Units,290.99,238.505,242.794,260.865,310.302,336.409,356.688,381.315,427.313,485.807,482.648,492.078,551.028,566.199,380.304,424.67,377.476,402.053,450.744,488.442,480.173,2004
Chad,U.S. dollars,Units,215.939,188.139,223.102,250.264,330.959,513.888,661.203,712.529,803.018,932.601,805.798,895.354,985.629,970.738,982.92,"1,024.84",776.105,700.558,671.18,713.426,689.327,2017
Comoros,U.S. dollars,Units,703.067,628.071,675.05,757.399,949.68,"1,055.36","1,085.66","1,110.98","1,251.86","1,403.80","1,351.15","1,322.64","1,450.16","1,403.42","1,500.73","1,505.18","1,231.14","1,256.04","1,300.57","1,386.01","1,359.75",2015
Democratic Republic of the Congo,U.S. dollars,Units,410.453,397.025,146.542,171.076,171.505,189.173,215.172,248.176,280.397,316.269,289.689,326.681,379.705,417.545,450.642,479.602,490.698,459.14,460.832,553.88,573.292,2020
Republic of Congo,U.S. dollars,Units,949.351,"1,268.42","1,037.33","1,109.28","1,255.57","1,617.33","2,058.30","2,436.38","2,586.30","3,346.18","2,722.04","3,597.96","4,175.34","4,607.39","4,559.73","4,438.24","2,873.72","2,395.18","2,555.44","3,062.92","2,800.29",2019
CÙte d'Ivoire,U.S. dollars,Units,"1,088.34",920.472,935.446,"1,009.64","1,216.94","1,282.22","1,287.97","1,308.58","1,458.24","1,697.05","1,657.60","1,650.96","1,660.45","1,686.73","1,919.16","2,115.19","1,932.22","1,971.62","2,066.85","2,265.29","2,227.98",2015
Equatorial Guinea,U.S. dollars,Units,"1,251.45","1,885.99","2,616.49","3,107.85","5,424.13","8,214.07","10,810.45","12,743.35","15,782.69","22,834.44","16,596.74","17,153.17","21,480.00","21,556.42","20,252.75","19,271.29","11,217.99","9,202.54","9,624.53","9,968.09","8,355.34",2015
Eritrea,U.S. dollars,Units,274.584,238.508,245.162,227.498,258.933,315.55,300.697,321.219,340.334,301.238,415.601,501.424,642.502,693.804,596.754,786.54,603.193,655.424,557.857,580.845,566.731,2006
Eswatini,U.S. dollars,Units,"1,861.50","1,818.67","1,599.21","1,473.72","2,235.68","2,797.02","3,174.59","3,262.22","3,402.16","3,214.49","3,479.71","4,263.91","4,603.20","4,628.13","4,325.84","4,133.65","3,766.46","3,513.80","4,031.06","4,225.74","4,031.72",2017
Ethiopia,U.S. dollars,Units,121.551,128.621,123.892,116.452,120.601,138.282,164.937,198.696,244.495,326.82,351.341,324.285,361.829,493.321,535.264,613.101,702.767,790.82,829.313,852.011,968.253,2021
Gabon,U.S. dollars,Units,"4,222.73","4,477.32","4,065.93","4,210.28","5,015.60","5,837.62","6,942.70","7,271.09","8,652.15","10,418.28","7,856.85","8,933.31","10,893.46","9,903.41","9,760.75","9,746.79","7,453.11","7,082.22","7,370.35","8,220.50","8,111.34",2015
The Gambia,U.S. dollars,Units,811.257,766.199,737.063,631.566,581.319,642.755,665.721,662.362,780.379,924.514,833.282,860.639,762.761,742.78,700.515,607.429,649.511,683.998,676.656,729.035,768.921,2018
Ghana,U.S. dollars,Units,"1,012.28",606.501,630.698,714.42,860.469,973.287,"1,151.31","1,320.28","1,520.64","1,688.08","1,477.65","1,757.05","2,131.75","2,197.91","2,405.77","2,003.71","1,784.25","1,982.24","2,086.60","2,275.77","2,265.72",2021
Guinea,U.S. dollars,Units,557.831,461.784,427.879,444.663,517.03,538.88,470.57,426.419,628.711,675.387,637.478,630.549,540.562,637.79,712.977,728.729,712.049,679.964,796.038,891.887,986.528,2014
Guinea-Bissau,U.S. dollars,Units,496.411,327.943,338.362,374.5,435.072,447.804,482.181,467.998,543.408,672.251,613.569,644.344,775.206,688.497,711.927,712.826,707.897,748.089,864.141,894.667,836.954,2017
Kenya,U.S. dollars,Units,647.889,617.147,617.055,611.901,668.483,692.718,778.333,854.992,"1,028.24","1,118.77","1,123.27","1,176.31","1,178.60","1,396.22","1,490.42","1,613.10","1,625.18","1,688.85","1,805.40","1,983.03","2,107.74",2019
Lesotho,U.S. dollars,Units,466.514,453.282,374.971,410.133,592.302,738.561,791.265,809.56,930.798,868.532,"1,011.42","1,222.20","1,324.61","1,261.44","1,191.99","1,250.63","1,106.83","1,105.77","1,166.07","1,150.98","1,122.34",2016
Liberia,U.S. dollars,Units,n/a,303.151,305.914,311.769,231.891,286.104,293.47,333.151,388.156,464.44,470.219,505.355,582.605,646.648,716.566,708.812,691.359,709.804,706.249,677.356,623.874,2016
