ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA_ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_ES,PRI_NVA_ALIANZA_ES,PRI_PVEM,PRI_NVA_ALIANZA,PRI_ES,PVEM_NVA_ALIANZA_ES,PVEM_NVA_ALIANZA,PVEM_ES,NVA_ALIANZA_ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,82,370,8559,32873,19740,1067,1100,1066,38888,3335,343,108,83,88,345,121,170,20,16,31,18,2691,126,110662,3814,114602,245295,46.7201
15,MEXICO,2,TOLUCA DE LERDO,106,358,20569,37316,31427,3039,866,770,34809,554,382,227,40,82,421,144,44,7,38,6,37,4598,156,135376,3646,139178,228852,60.8157
15,MEXICO,3,CHIMALHUACAN,91,365,4236,31219,26671,664,1114,1144,29950,764,206,123,35,71,382,137,45,13,29,5,15,1178,59,98001,3091,101151,241066,41.9599
15,MEXICO,4,LERMA DE VILLADA,118,393,15302,48162,27192,1944,2034,980,41508,972,359,211,54,82,561,142,51,7,20,15,7,4054,118,143657,3635,147410,246484,59.8051
15,MEXICO,5,CHICOLOAPAN DE JUAREZ,110,389,5208,34459,23598,751,1451,854,32569,887,286,131,60,82,406,111,68,12,30,5,10,2017,253,102995,3338,106586,249813,42.6663
15,MEXICO,6,ECATEPEC DE MORELOS,106,341,8840,26369,17474,951,1591,1078,38287,715,304,141,48,53,427,91,38,9,20,2,12,2121,97,98571,3079,101747,213716,47.6085
15,MEXICO,7,TENANCINGO DE DEGOLLADO,138,418,15455,50806,29863,3243,1590,1788,39385,849,300,222,49,80,434,181,58,18,51,19,7,2837,84,147235,4746,152065,248510,61.1907
15,MEXICO,8,ECATEPEC DE MORELOS,150,382,10829,27567,19625,910,1624,1312,45589,769,230,152,35,62,330,92,36,4,25,1,11,2988,108,112191,3475,115774,225127,51.4261
15,MEXICO,9,TEJUPILCO DE HIDALGO,252,521,12855,75143,35318,1452,1344,1675,30918,712,304,203,30,63,542,147,54,6,38,4,9,1653,69,162470,4741,167280,261131,64.0598
15,MEXICO,10,VALLE DE BRAVO,176,433,15121,77338,24484,1736,2642,1613,26549,682,448,366,72,152,910,260,72,10,37,10,13,1688,94,154203,4203,158500,238123,66.5622
15,MEXICO,11,TULTITLAN DE MARIANO ESCOBEDO,125,382,12440,31605,15223,1115,1448,1244,44912,1084,330,195,42,75,433,91,56,13,32,7,51,3244,218,113640,4076,117934,236537,49.8586
