ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,MORENA,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,82,370,8559,33375,19740,1067,1449,1299,38888,3594,2691,126,110662,3814,114602,245295,46.7201
15,MEXICO,2,TOLUCA DE LERDO,106,358,20569,37837,31427,3039,1284,1079,34809,734,4598,156,135376,3646,139178,228852,60.8157
15,MEXICO,3,CHIMALHUACAN,91,365,4236,31634,26671,664,1429,1355,29950,884,1178,59,98001,3091,101151,241066,41.9599
15,MEXICO,4,LERMA DE VILLADA,118,393,15302,48749,27192,1944,2512,1253,41508,1143,4054,118,143657,3635,147410,246484,59.8051
15,MEXICO,5,CHICOLOAPAN DE JUAREZ,110,389,5208,34918,23598,751,1810,1074,32569,1050,2017,253,102995,3338,106586,249813,42.6663
15,MEXICO,6,ECATEPEC DE MORELOS,106,341,8840,26806,17474,951,1957,1282,38287,853,2121,97,98571,3079,101747,213716,47.6085
15,MEXICO,7,TENANCINGO DE DEGOLLADO,138,418,15455,51337,29863,3243,2014,2088,39385,1013,2837,84,147235,4746,152065,248510,61.1907
15,MEXICO,8,ECATEPEC DE MORELOS,150,382,10829,27942,19625,910,1923,1504,45589,881,2988,108,112191,3475,115774,225127,51.4261
15,MEXICO,9,TEJUPILCO DE HIDALGO,252,521,12855,75691,35318,1452,1791,1938,30918,854,1653,69,162470,4741,167280,261131,64.0598
15,MEXICO,10,VALLE DE BRAVO,176,433,15121,78269,24484,1736,3383,2055,26549,918,1688,94,154203,4203,158500,238123,66.5622
15,MEXICO,11,TULTITLAN DE MARIANO ESCOBEDO,125,382,12475,32568,15250,1116,2238,1903,44818,1444,3245,216,115057,3263,118536,236537,49.8586
15,MEXICO,12,TEOLOYUCAN,103,386,14392,36005,18853,902,1775,1165,47545,795,2627,106,124059,3306,127471,245386,51.9471
15,MEXICO,13,ATLACOMULCO DE FABELA,162,439,18033,73639,13788,1898,2290,2079,37526,1409,2653,90,153315,5618,159023,248809,63.9137
15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,178,446,26365,64903,13174,1823,4393,3866,36598,1215,2323,113,154660,4807,159580,241414,66.1022
15,MEXICO,15,IXTLAHUACA DE RAYON,121,397,15625,73587,11920,2305,4094,2380,34096,1682,2717,88,148406,5581,154075,238904,64.4924
15,MEXICO,16,CIUDAD ADOLFO LOPEZ MATEOS,108,391,24514,27489,12398,979,2051,1151,40827,970,3090,147,113469,3755,117371,251088,46.745
15,MEXICO,17,HUIXQUILUCAN DE DEGOLLADO,105,378,33005,45450,14109,897,3106,1260,29205,777,2626,102,130435,3523,134060,237368,56.4777
15,MEXICO,18,TLALNEPANTLA DE BAZ,215,496,32751,33711,16539,1059,1320,1582,53824,965,4865,228,146616,4213,151057,285900,52.8706
15,MEXICO,19,SANTA MARIA TULTEPEC,87,386,11778,32239,32699,959,1549,1361,45142,646,3199,209,129572,3446,133227,254349,52.3796
15,MEXICO,20,ZUMPANGO DE OCAMPO,145,462,15661,46448,14704,1232,1907,1547,47637,1342,2677,115,133155,3722,136992,291938,46.925
15,MEXICO,21,ECATEPEC DE MORELOS,137,387,10145,33860,19257,994,2325,1424,43228,1086,2656,105,114975,3595,118675,236380,50.2052
15,MEXICO,22,ECATEPEC DE MORELOS,159,375,8153,29475,17188,875,1748,1631,39906,1098,2052,94,102126,3255,105475,220256,47.8875
15,MEXICO,23,TEXCOCO DE MORA,110,424,6021,44572,15698,825,2763,1270,74356,896,2031,141,148432,3720,152293,271806,56.03
15,MEXICO,24,NEZAHUALCOYOTL,214,470,5739,23632,59475,600,1166,1044,36965,567,1935,142,131123,3474,134739,271108,49.6994
15,MEXICO,25,NEZAHUALCOYOTL,244,515,4310,26271,74548,599,1410,1220,34550,687,1652,139,145247,3544,148930,289109,51.5134
15,MEXICO,26,CUAUTITLAN IZCALLI,172,429,19930,32825,13693,1327,1861,1318,50702,942,3843,177,126441,3797,130415,256333,50.8772
15,MEXICO,27,VALLE DE CHALCO SOLIDARIDAD,115,394,5591,26788,36608,910,1518,1326,36501,1706,2086,140,113034,4115,117289,251454,46.6443
15,MEXICO,28,AMECAMECA DE JUAREZ,170,398,8810,42716,25343,994,2914,1325,39529,2456,2453,100,126540,3772,130412,242018,53.8852
