ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA_ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_ES,PRI_NVA_ALIANZA_ES,PRI_PVEM,PRI_NVA_ALIANZA,PRI_ES,PVEM_NVA_ALIANZA_ES,PVEM_NVA_ALIANZA,PVEM_ES,NVA_ALIANZA_ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
15,MEXICO,1,ACAMBAY DE RUIZ CASTAÑEDA,32,83,3985,11573,2185,340,694,372,7120,126,56,51,7,18,182,43,8,2,14,2,5,449,48,27232,992,28272,43782,64.5745
15,MEXICO,2,ACOLMAN,26,120,2400,15804,6251,349,657,330,16249,273,109,43,14,30,202,37,14,4,6,5,3,811,19,43591,1247,44857,76933,58.3066
15,MEXICO,3,ACULCO,23,58,2719,10107,2669,195,570,315,3004,281,50,68,9,13,140,31,9,0,6,2,1,252,5,20441,782,21228,31803,66.7484
15,MEXICO,4,ALMOLOYA DE ALQUISIRAS,12,23,861,4059,231,60,46,75,2292,16,10,7,0,1,19,1,3,0,4,0,0,84,1,7769,179,7949,11243,70.7018
15,MEXICO,5,ALMOLOYA DE JUAREZ,56,175,10061,24599,8998,1809,1329,570,13141,265,213,138,30,46,468,111,27,2,14,6,6,1491,37,63324,2372,65733,106409,61.7739
15,MEXICO,6,ALMOLOYA DEL RIO,5,13,383,1721,1158,51,9,38,1689,55,10,2,1,2,4,1,2,1,1,0,1,72,1,5201,106,5308,7874,67.4117
15,MEXICO,7,AMANALCO,10,28,792,4705,1097,211,53,111,3164,114,37,23,6,13,61,17,10,3,6,0,0,149,5,10572,402,10979,16581,66.2143
15,MEXICO,8,AMATEPEC,27,45,197,6250,3862,87,92,93,1952,194,17,7,3,2,34,10,2,1,0,0,2,88,2,12893,310,13205,19907,66.3335
15,MEXICO,9,AMECAMECA,26,65,1426,6045,5543,156,613,211,6335,905,31,18,14,18,81,18,32,1,4,8,2,423,21,21884,659,22564,37811,59.6758
15,MEXICO,10,APAXCO,14,34,1076,3579,1107,108,50,77,4707,55,37,14,8,11,36,9,5,0,1,0,0,240,7,11120,364,11491,20080,57.2261
15,MEXICO,11,ATENCO,14,62,1065,9286,1912,185,134,144,10349,133,56,27,8,12,80,21,14,0,6,1,6,271,28,23710,664,24402,40938,59.6072
15,MEXICO,12,ATIZAPAN,3,13,495,1515,840,95,94,56,1544,16,15,15,1,0,24,5,4,0,2,0,0,117,10,4838,150,4998,7736,64.607
15,MEXICO,13,ATIZAPAN DE ZARAGOZA,167,597,42743,40764,19804,1408,2745,1385,62354,1076,395,277,121,146,572,190,105,26,40,15,26,5030,249,179222,5450,184921,380543,48.594
15,MEXICO,14,ATLACOMULCO,39,119,4176,18131,5275,580,226,383,14433,156,164,99,25,40,195,73,28,1,12,1,6,1012,36,45016,1422,46474,71059,65.402
15,MEXICO,15,ATLAUTLA,13,32,750,4219,1985,90,191,96,3200,115,14,1,4,6,28,9,3,0,2,0,0,107,5,10820,226,11051,19548,56.5326
15,MEXICO,16,AXAPUSCO,20,32,1433,5272,739,195,72,149,3293,69,30,21,2,4,36,10,3,1,1,1,0,151,5,11482,383,11870,16997,69.8359
15,MEXICO,17,AYAPANGO,5,9,131,1235,1600,23,9,10,559,21,6,0,1,0,5,0,3,0,0,0,0,22,0,3625,55,3680,5421,67.8842
15,MEXICO,18,CALIMAYA,16,58,3034,6743,4188,490,268,153,5261,54,42,30,7,10,80,14,4,0,4,1,0,489,7,20872,526,21405,35238,60.7441
15,MEXICO,19,CAPULHUAC,12,40,802,3775,2405,137,353,98,3159,35,11,10,2,12,49,15,3,0,2,0,0,269,4,11137,244,11385,23529,48.3871
15,MEXICO,20,COACALCO DE BERRIOZABAL,106,342,12351,26433,20775,865,1228,927,45143,688,215,104,45,36,265,59,31,4,14,3,6,3390,205,112582,3194,115981,216494,53.5724
15,MEXICO,21,COATEPEC HARINAS,19,47,1925,7144,954,339,85,135,3419,34,36,23,2,10,76,11,2,0,6,1,2,139,3,14343,454,14800,25425,58.2104
15,MEXICO,22,COCOTITLAN,6,17,311,1655,1781,47,162,42,2561,80,6,2,5,1,7,3,8,0,0,0,0,91,1,6762,136,6899,10906,63.2588
15,MEXICO,23,COYOTEPEC,11,54,1926,4408,1485,117,247,126,7336,151,42,11,4,10,42,12,14,0,2,0,2,250,26,16185,453,16664,34275,48.6185
15,MEXICO,24,CUAUTITLAN,27,118,5202,11654,6394,311,464,449,16268,145,110,40,9,15,127,32,15,1,8,1,2,1054,58,42301,1001,43360,76951,56.3475
15,MEXICO,25,CUAUTITLAN IZCALLI,260,652,33629,49315,24240,2163,2425,1956,86896,1447,465,258,69,118,649,160,60,18,41,10,12,6604,330,210535,5503,216368,394684,54.8206
15,MEXICO,26,CHALCO,71,338,7795,29663,17209,962,922,963,34976,2783,325,103,75,85,327,110,157,19,16,31,16,2518,122,99055,3568,102745,225062,45.6519
15,MEXICO,27,CHAPA DE MOTA,14,37,4473,4881,540,95,213,162,2575,82,37,28,1,3,49,22,3,0,3,0,1,130,5,13298,335,13638,19661,69.3657
