ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PH,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,347,689,50499,21713,31314,8409,8502,7093,3378,118644,6799,5182,,,,,,261533,261,6765,268559,378726,
9,CIUDAD DE MEXICO,3,COYOACAN,403,958,82837,38499,96377,12483,9176,11959,6890,129167,6570,8943,,,,,,402901,435,11138,414474,563976,
9,CIUDAD DE MEXICO,4,CUAJIMALPA DE MORELOS,75,249,27774,43216,2589,2223,2093,1311,997,29188,1715,1140,,,,,,112246,28,2565,114839,160351,
9,CIUDAD DE MEXICO,5,GUSTAVO A MADERO,858,1837,73219,64517,126596,31171,22197,17258,14885,311769,18615,19378,,,,,,699605,643,20664,720912,1045113,
9,CIUDAD DE MEXICO,6,IZTACALCO,299,627,26692,21235,56099,8132,7350,5278,3279,109911,5640,5229,,,,,,248845,205,6942,255992,357004,
9,CIUDAD DE MEXICO,7,IZTAPALAPA,1003,2453,87662,51290,279272,24044,39034,26970,9729,431409,25156,18409,,,,,,992975,622,34191,1027788,1470405,
9,CIUDAD DE MEXICO,8,LA MAGDALENA CONTRERAS,147,342,15674,34796,4564,4216,3767,6047,1070,57195,2581,1145,,,,4193,1621,136869,172,3781,140822,196534,
9,CIUDAD DE MEXICO,9,MILPA ALTA,44,163,4452,15052,3705,949,1807,18761,540,21786,1442,628,,,,,,69122,24,2072,71218,104842,
9,CIUDAD DE MEXICO,10,ALVARO OBREGON,445,1038,82346,39894,72424,15213,12566,10811,5297,161914,9377,9016,,,,,,418858,326,12632,431816,606598,
9,CIUDAD DE MEXICO,11,TLAHUAC,145,474,21112,15552,20968,22915,6182,6433,4225,82565,4420,4629,,,,,,189001,125,5613,194739,294302,
9,CIUDAD DE MEXICO,12,TLALPAN,354,905,68158,31955,29140,19105,12021,9063,4140,178039,9929,7449,,,,,,368999,348,10987,380334,539660,
9,CIUDAD DE MEXICO,13,XOCHIMILCO,171,539,20923,17055,19728,13858,7963,4875,5169,87553,5880,5908,,22321,7938,,,219171,362,6753,226286,340509,
9,CIUDAD DE MEXICO,14,BENITO JUAREZ,254,617,116796,29456,7497,8020,4505,5013,2854,81287,3819,5764,,,,,,265011,301,5898,271210,367723,
9,CIUDAD DE MEXICO,15,CUAUHTEMOC,389,833,51717,42016,17068,11949,9842,6599,4462,150224,8552,8582,,,,,,311011,391,9751,321153,478442,
9,CIUDAD DE MEXICO,16,MIGUEL HIDALGO,257,555,74750,19594,8882,5882,9067,4634,1867,81530,4755,2504,7195,,,,,220660,347,5105,226112,319499,
9,CIUDAD DE MEXICO,17,VENUSTIANO CARRANZA,336,697,26666,19261,91912,6551,6025,6733,2378,98823,5535,3530,,,,,,267414,190,6686,274290,404572,
