CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PH,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,1,2,89,59,54,21,18,18,4,222,9,5,13,9,1,2,6,0,0,1,,,,,,531,1,13,545,783
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,2,2,156,84,57,17,14,16,14,316,14,15,17,3,0,3,7,4,1,0,,,,,,738,0,23,761,1013
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,3,2,114,63,75,24,18,11,8,337,21,10,14,1,0,2,6,1,5,0,,,,,,710,0,23,733,1044
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,4,2,118,60,94,51,19,12,7,320,17,11,3,4,0,1,9,5,1,0,,,,,,732,0,10,742,1028
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,5,2,90,62,96,37,20,14,5,344,14,13,9,4,0,2,6,0,0,0,,,,,,716,2,19,737,1074
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,6,2,90,39,123,24,21,10,5,304,16,10,7,5,0,0,6,1,0,0,,,,,,661,0,15,676,943
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,7,2,61,66,48,22,22,13,8,264,19,8,6,2,0,1,3,2,1,1,,,,,,547,0,20,567,828
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,8,2,142,68,60,35,22,40,10,356,17,27,9,1,0,4,6,0,1,0,,,,,,798,0,14,812,1126
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,9,2,94,52,50,12,13,22,7,288,9,8,13,2,0,3,2,1,4,2,,,,,,582,0,9,591,851
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,10,3,343,95,180,46,32,31,16,661,23,37,31,6,0,3,17,4,1,1,,,,,,1527,4,37,1568,2204
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,11,1,69,30,54,17,11,11,8,218,18,11,5,4,0,1,1,1,1,0,,,,,,460,0,12,472,663
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,12,1,138,43,28,15,7,12,3,167,13,9,4,2,0,0,5,0,0,0,,,,,,446,1,12,459,648
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,13,2,294,107,36,22,15,15,10,239,11,14,4,1,0,1,6,0,0,0,,,,,,775,0,16,791,1009
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,14,1,204,75,19,25,7,3,11,200,6,17,2,0,0,0,2,2,0,0,,,,,,573,2,9,584,733
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,15,2,210,73,39,29,12,12,8,217,9,12,3,3,0,1,6,1,0,2,,,,,,637,0,11,648,825
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,16,2,168,74,109,31,18,25,17,323,17,20,5,3,0,2,8,4,9,0,,,,,,833,0,34,867,1132
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,17,1,86,47,52,22,12,14,6,231,7,7,6,0,0,2,4,2,0,0,,,,,,498,0,13,511,724
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,18,2,132,42,63,22,18,33,8,279,16,9,7,0,1,1,9,1,0,1,,,,,,642,0,17,659,900
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,19,2,88,73,83,19,15,14,5,251,7,14,12,4,0,1,5,2,0,1,,,,,,594,0,17,611,856
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,20,2,74,36,71,35,10,13,2,238,14,12,8,5,0,2,2,1,2,0,,,,,,525,1,11,537,752
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,21,2,70,48,134,37,21,13,3,269,10,10,11,1,0,0,5,4,1,0,,,,,,637,0,15,652,978
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,22,2,104,45,116,18,18,20,2,303,12,13,11,2,0,0,4,0,0,1,,,,,,669,0,15,684,963
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,23,2,77,42,104,7,15,11,5,246,10,7,16,3,0,1,7,1,0,2,,,,,,554,0,12,566,824
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,24,2,123,47,97,17,9,15,7,268,5,15,9,7,0,2,9,1,2,1,,,,,,634,0,19,653,859
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,25,1,68,70,53,20,9,11,7,217,17,10,5,2,0,0,2,1,1,0,,,,,,493,0,7,500,697
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,26,2,117,71,51,19,12,13,2,238,21,7,9,4,0,9,3,4,0,1,,,,,,581,0,18,599,833
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,27,2,81,65,65,24,20,21,7,300,14,17,8,3,0,2,5,1,2,0,,,,,,635,0,14,649,930
