ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PH,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRD_MC,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,1,GUSTAVO A MADERO,143,376,10145,8108,23207,5294,3919,2647,1875,75130,3287,2155,3900,831,128,584,,1106,394,72,188,4558,,,,,,,,,,147528,276,5054,152858,229079,
9,CIUDAD DE MEXICO,2,GUSTAVO A MADERO,263,487,36048,18960,12864,8712,3711,3350,3997,76035,3848,4068,2777,570,55,391,,1164,350,97,57,,,,,,,,,,,177054,182,5690,182926,253806,
9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,198,413,25612,14638,11924,6980,4478,3659,2558,78003,3538,4152,3156,741,77,420,,1296,387,101,97,,,,,,,,,,,161817,150,5500,167467,234908,
9,CIUDAD DE MEXICO,4,GUSTAVO A MADERO,219,475,16236,16053,25783,7957,4306,3401,3261,89790,4069,4397,3711,775,89,532,,1210,335,78,137,,,,,,,,,,,182120,153,6152,188425,273883,
9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,222,461,38449,17182,11837,8433,3981,4676,2868,78482,3695,4278,2572,636,52,342,307,,,,,,,,,,,,,,,177790,178,7009,184977,257427,
9,CIUDAD DE MEXICO,6,GUSTAVO A MADERO,233,499,21670,20460,30750,8447,4541,4006,3618,92890,4232,4214,3370,729,81,523,,1634,480,100,160,,,,,,,,,,,201905,198,6499,208602,288345,
9,CIUDAD DE MEXICO,7,MILPA ALTA,95,326,8883,12849,6945,9676,4262,10597,2938,64214,3193,2952,2815,621,51,480,,963,144,102,140,,,,,,,,,,,131825,103,6157,138085,204810,
9,CIUDAD DE MEXICO,8,TLAHUAC,94,311,12382,10879,11744,12094,3212,4326,3518,52323,2316,5204,1956,540,50,304,,933,236,68,108,,,,,,,,,,,122193,133,5650,127976,194334,
9,CIUDAD DE MEXICO,9,CUAUHTEMOC,184,401,18044,20549,6580,6993,3693,3117,2600,70660,3056,2864,2816,585,64,503,,718,167,72,83,,4462,,,,,,,,,147626,218,5806,153650,231286,
9,CIUDAD DE MEXICO,10,VENUSTIANO CARRANZA,206,435,19813,17741,36377,6543,3616,3598,2591,68401,3427,3161,2507,709,50,433,,1412,538,67,158,,,,,,,,,,,171142,136,5673,176951,253634,
