ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PVEM,NA,PH,C_COMUN_PT_MORENA_ES,C_COMUN_PRD_MC,PAN_PRD_MC,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,1,GUSTAVO A MADERO,143,376,,8108,5294,1875,2155,87779,,37759,4558,,,,,,,,,,147528,276,5054,152858,229079,
9,CIUDAD DE MEXICO,2,GUSTAVO A MADERO,263,487,,18960,8712,3997,4068,87387,,53930,,,,,,,,,,,177054,182,5690,182926,253806,
9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,198,413,,14638,6980,2558,4152,90413,,43076,,,,,,,,,,,161817,150,5500,167467,234908,
9,CIUDAD DE MEXICO,4,GUSTAVO A MADERO,219,475,,16053,7957,3261,4397,103272,,47180,,,,,,,,,,,182120,153,6152,188425,273883,
9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,222,461,38449,17182,8433,2868,4278,89760,16820,,,,,,,,,,,,177790,178,7009,184977,257427,
9,CIUDAD DE MEXICO,6,GUSTAVO A MADERO,233,499,,20460,8447,3618,4214,106366,,58800,,,,,,,,,,,201905,198,6499,208602,288345,
9,CIUDAD DE MEXICO,7,MILPA ALTA,95,326,,12849,9676,2938,2952,75636,,27774,,,,,,,,,,,131825,103,6157,138085,204810,
9,CIUDAD DE MEXICO,8,TLAHUAC,94,311,,10879,12094,3518,5204,60701,,29797,,,,,,,,,,,122193,133,5650,127976,194334,
9,CIUDAD DE MEXICO,9,CUAUHTEMOC,184,401,,20549,6993,2600,2864,81377,,28781,,4462,,,,,,,,,147626,218,5806,153650,231286,
9,CIUDAD DE MEXICO,10,VENUSTIANO CARRANZA,206,435,,17741,6543,2591,3161,79143,,61963,,,,,,,,,,,171142,136,5673,176951,253634,
9,CIUDAD DE MEXICO,11,IZTACALCO,213,445,,14014,6599,2284,3065,94044,,54931,,,,,,,,,,,174937,167,5702,180806,255995,
9,CIUDAD DE MEXICO,12,CUAUHTEMOC,205,432,,19956,7170,2615,3442,80683,,43727,,,4341,,,,,,,,161934,288,5581,167803,247156,
9,CIUDAD DE MEXICO,13,MIGUEL HIDALGO,184,370,,17259,6110,1951,3178,53945,,59609,,,,,,,,,,,142052,128,4259,146439,205890,
9,CIUDAD DE MEXICO,14,TLALPAN,131,355,,13305,6859,2285,3360,84409,,34237,,,,,,,,,,,144455,141,5198,149794,213327,
9,CIUDAD DE MEXICO,15,IZTACALCO,216,444,,15802,7088,2255,2782,90814,,53563,,,,2916,,,,,,,175220,347,5785,181352,251947,
9,CIUDAD DE MEXICO,16,TLALPAN,194,421,,18211,7874,2114,2994,81494,,49606,,,,,6136,,,,,,168429,237,5899,174565,240022,
9,CIUDAD DE MEXICO,17,BENITO JUAREZ,169,401,,21460,6658,1951,2509,58692,,73617,,,,,,4443,,,,,169330,353,4492,174175,236140,
9,CIUDAD DE MEXICO,18,ALVARO OBREGON,182,430,,15567,6578,2261,3586,90454,,52633,,,,,,,,,,,171079,176,6212,177467,255504,
9,CIUDAD DE MEXICO,19,XOCHIMILCO,92,328,,10938,8800,2797,3911,78891,,28548,,,,,,,,,,,133885,207,6054,140146,211680,
9,CIUDAD DE MEXICO,20,CUAJIMALPA DE MORELOS,123,400,,39545,5793,2083,3520,69627,,52947,,,,,,,,,,,173515,87,5703,179305,252409,
9,CIUDAD DE MEXICO,21,IZTAPALAPA,154,353,,10218,5468,2066,2692,76281,,43877,,,,,,,,,,,140602,114,5125,145841,204715,
9,CIUDAD DE MEXICO,22,IZTAPALAPA,138,328,,9817,4557,1769,2360,73908,,39487,,,,,,,,,,,131898,92,4980,136970,196689,
9,CIUDAD DE MEXICO,23,ALVARO OBREGON,215,457,,19289,7529,2579,3256,78096,,72715,,,,,,,,,,,183464,127,5868,189459,259036,
9,CIUDAD DE MEXICO,24,IZTAPALAPA,215,449,,15754,8251,2923,4588,90370,,55438,,,,,,,,,,,177324,179,6633,184136,252841,
9,CIUDAD DE MEXICO,25,XOCHIMILCO,108,340,,11181,7357,3038,3594,73757,,28527,,,,,,,8381,,,,135835,392,5384,141611,215140,
9,CIUDAD DE MEXICO,26,COYOACAN,165,382,,18270,6057,1835,2190,62565,,60534,,,,,,,,13458,,,164909,206,4774,169889,227248,
9,CIUDAD DE MEXICO,27,IZTAPALAPA,118,331,,6734,4285,2572,2109,82318,,37057,,,,,,,,,,,135075,89,5553,140717,207662,
9,CIUDAD DE MEXICO,28,IZTAPALAPA,139,334,,10278,5832,2101,3117,78726,,40417,,,,,,,,,,,140471,90,5198,145759,203373,
9,CIUDAD DE MEXICO,29,IZTAPALAPA,109,316,,7176,4565,1760,2188,77856,,36683,,,,,,,,,,,130228,65,4781,135074,201482,
9,CIUDAD DE MEXICO,30,COYOACAN,167,384,,16566,6357,2338,3438,67433,,65626,,,,,,,,,,,161758,151,5116,167025,221223,
9,CIUDAD DE MEXICO,31,IZTAPALAPA,130,342,,8191,4878,1544,1903,79644,,36686,,,,,,,,,2737,,135583,205,4945,140733,203643,
9,CIUDAD DE MEXICO,32,COYOACAN,156,408,,11654,5442,2285,3051,88484,,59216,,,,,,,,,,2877,173009,279,5768,179056,247088,
9,CIUDAD DE MEXICO,33,LA MAGDALENA CONTRERAS,147,342,,24363,5686,1704,3087,70823,,29993,,,,,,,,,,,135656,87,4971,140714,196534,
