ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PH,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,1,GUSTAVO A MADERO,143,376,10747,8108,23867,5294,5698,3145,1875,77138,4943,2155,4558,,,,,,,,,,147528,276,5054,152858,229079,
9,CIUDAD DE MEXICO,2,GUSTAVO A MADERO,263,487,36660,18960,13456,8712,4948,3814,3997,77442,4997,4068,,,,,,,,,,,177054,182,5690,182926,253806,
9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,198,413,26289,14638,12598,6980,5939,4189,2558,79636,4838,4152,,,,,,,,,,,161817,150,5500,167467,234908,
9,CIUDAD DE MEXICO,4,GUSTAVO A MADERO,219,475,16845,16053,26424,7957,5975,3911,3261,91681,5616,4397,,,,,,,,,,,182120,153,6152,188425,273883,
9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,222,461,38449,17182,11991,8433,5182,4829,2868,79829,4749,4278,,,,,,,,,,,177790,178,7009,184977,257427,
9,CIUDAD DE MEXICO,6,GUSTAVO A MADERO,233,499,22505,20460,31615,8447,6069,4680,3618,94641,5656,4214,,,,,,,,,,,201905,198,6499,208602,288345,
9,CIUDAD DE MEXICO,7,MILPA ALTA,95,326,9327,12849,7408,9676,5536,11039,2938,65704,4396,2952,,,,,,,,,,,131825,103,6157,138085,204810,
9,CIUDAD DE MEXICO,8,TLAHUAC,94,311,12845,10879,12227,12094,4159,4725,3518,53397,3145,5204,,,,,,,,,,,122193,133,5650,127976,194334,
9,CIUDAD DE MEXICO,9,CUAUHTEMOC,184,401,18404,20549,6944,6993,4956,3433,2600,72144,4277,2864,,4462,,,,,,,,,147626,218,5806,153650,231286,
9,CIUDAD DE MEXICO,10,VENUSTIANO CARRANZA,206,435,20587,17741,37196,6543,4831,4180,2591,69809,4503,3161,,,,,,,,,,,171142,136,5673,176951,253634,
9,CIUDAD DE MEXICO,11,IZTACALCO,213,445,18025,14014,32726,6599,5391,4180,2284,83893,4760,3065,,,,,,,,,,,174937,167,5702,180806,255995,
9,CIUDAD DE MEXICO,12,CUAUHTEMOC,205,432,32165,19956,7919,7170,4465,3643,2615,72489,3729,3442,,,4341,,,,,,,,161934,288,5581,167803,247156,
9,CIUDAD DE MEXICO,13,MIGUEL HIDALGO,184,370,51430,17259,5056,6110,3400,3123,1951,47709,2836,3178,,,,,,,,,,,142052,128,4259,146439,205890,
9,CIUDAD DE MEXICO,14,TLALPAN,131,355,21161,13305,9426,6859,5450,3650,2285,74712,4247,3360,,,,,,,,,,,144455,141,5198,149794,213327,
9,CIUDAD DE MEXICO,15,IZTACALCO,216,444,21765,15802,28393,7088,5071,3405,2255,81503,4240,2782,,,,2916,,,,,,,175220,347,5785,181352,251947,
