ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PH,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRD_MC,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,347,689,46625,24766,19680,11958,6589,6306,4239,122292,5603,6479,4506,1069,103,618,213,1296,387,101,97,,,,,,,,,,,262927,235,9504,272666,378726,
9,CIUDAD DE MEXICO,3,COYOACAN,403,958,73383,36138,65638,14037,8100,6993,5316,159787,6239,7317,5130,1246,136,775,,3129,1197,173,285,,,,,,,,6679,,2877,404575,502,12895,417972,563976,
9,CIUDAD DE MEXICO,4,CUAJIMALPA DE MORELOS,75,249,28056,31673,2946,3317,1899,1702,1244,34235,1822,2161,1215,260,60,195,,477,171,57,21,,,,,,,,,,,111511,51,3226,114788,160351,
9,CIUDAD DE MEXICO,5,GUSTAVO A MADERO,858,1837,84134,63589,92621,30415,16480,13411,12752,333932,15443,14836,13758,2905,353,2030,,5114,1559,347,542,4558,,,,,,,,,,708779,810,23399,732988,1045113,
9,CIUDAD DE MEXICO,6,IZTACALCO,299,627,28580,21443,38061,10016,5502,4338,3236,116511,4635,4108,3703,1008,101,558,,1721,684,104,216,,,,2916,,,,,,,247441,411,8132,255984,357004,
9,CIUDAD DE MEXICO,7,IZTAPALAPA,1003,2453,88042,68218,167304,37852,30945,24011,14773,477440,21253,18962,20924,5054,584,3102,,6384,2433,526,1074,,,,,,,,,2737,,991618,835,37242,1029695,1470405,
9,CIUDAD DE MEXICO,8,LA MAGDALENA CONTRERAS,147,342,19735,24363,4322,5686,3360,5078,1704,61709,2503,3087,2236,599,72,344,,573,136,96,53,,,,,,,,,,,135656,87,4971,140714,196534,
9,CIUDAD DE MEXICO,9,MILPA ALTA,44,163,3865,7485,2610,4722,2207,8735,1592,30519,1663,1418,1633,319,22,268,,557,46,73,92,,,,,,,,,,,67826,58,3268,71152,104842,
9,CIUDAD DE MEXICO,10,ALVARO OBREGON,445,1038,77145,42730,53668,16584,10188,8971,5679,170678,8088,8201,6568,1692,198,1088,,3394,1101,258,346,,,,,,,,,,,416577,340,14558,431475,606598,
9,CIUDAD DE MEXICO,11,TLAHUAC,145,474,17479,16305,16155,17110,5294,6216,4880,86441,3862,6766,3138,842,79,516,,1339,334,97,156,,,,,,,,,,,187009,180,8585,195774,294302,
9,CIUDAD DE MEXICO,12,TLALPAN,354,905,62996,34933,21616,18667,9623,7769,5157,172178,6977,7493,6246,1546,139,988,,2273,619,229,252,,,,,6143,,,,,,365844,467,13628,379939,539660,
9,CIUDAD DE MEXICO,13,XOCHIMILCO,171,539,24089,18729,13999,12243,7330,5290,5082,101853,5202,6380,4723,1140,136,688,,1243,363,89,164,,,,,,,8381,,,,217124,516,8916,226556,340509,
9,CIUDAD DE MEXICO,14,BENITO JUAREZ,254,617,95116,31812,6492,10477,3918,4234,3093,85471,3391,3871,2139,467,56,319,,1750,374,170,59,,,,,,4443,,6779,,,264431,487,7255,272173,367723,
9,CIUDAD DE MEXICO,15,CUAUHTEMOC,389,833,49706,40514,14000,14164,7018,6351,5215,141857,5725,6308,5344,1131,111,894,,1753,420,147,139,,4462,4341,,,,,,,,309600,506,11389,321495,478442,
9,CIUDAD DE MEXICO,16,MIGUEL HIDALGO,257,555,68397,24332,8663,9571,4582,4772,3140,81229,3851,5131,2672,687,58,392,94,914,300,105,60,,,,,,,,,,,218950,221,7274,226445,319499,
9,CIUDAD DE MEXICO,17,VENUSTIANO CARRANZA,336,697,29666,26133,57978,10220,6052,5785,3896,114499,5556,4902,4111,1077,95,678,,2184,841,115,265,,,,,,,,,,,274053,239,9037,283329,404572,
