ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PH,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,0,VOTO EN EL EXTRANJERO,0,0,4610,2257,492,578,530,147,145,9373,174,529,698,119,30,33,367,34,17,25,444,20602,63,174,20839,28803,
9,CIUDAD DE MEXICO,1,GUSTAVO A MADERO,143,376,9695,10976,28927,4270,3731,3070,1068,72923,2750,1274,4075,843,128,612,1422,441,128,276,1609,148218,171,4217,152606,229079,
9,CIUDAD DE MEXICO,2,GUSTAVO A MADERO,263,487,26874,28024,20415,8565,3964,2709,1599,73636,2577,1827,2955,582,72,535,1565,520,180,196,2374,179169,213,3678,183060,253806,
9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,198,413,23496,19011,19611,6044,4171,3395,1219,73029,2535,1674,3319,785,109,473,1905,593,161,182,2197,163909,194,3730,167833,234908,
9,CIUDAD DE MEXICO,4,GUSTAVO A MADERO,219,475,14702,19231,35999,6262,3929,3462,1390,83879,2949,1768,3852,782,110,558,1661,545,117,288,2028,183512,234,4470,188216,273883,
9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,222,461,29334,26070,17386,8374,4246,3869,1432,76733,2462,2006,2904,695,104,408,1536,473,143,235,2558,180968,235,3827,185030,257427,
9,CIUDAD DE MEXICO,6,GUSTAVO A MADERO,233,499,18456,25060,38515,7585,4146,3727,1374,89397,2946,1902,3540,725,87,588,1922,702,119,299,2474,203564,206,4453,208223,288345,
9,CIUDAD DE MEXICO,7,MILPA ALTA,95,326,11574,15522,15091,4493,3610,10412,801,61025,2100,1110,3205,687,60,451,1679,334,246,331,1465,134196,111,3708,138015,204810,
9,CIUDAD DE MEXICO,8,TLAHUAC,94,311,12101,13992,16894,6139,3240,3582,955,57849,1811,1464,2370,559,79,354,1359,341,104,185,1838,125216,95,3147,128458,194334,
9,CIUDAD DE MEXICO,9,CUAUHTEMOC,184,401,15750,24242,14363,6337,3373,3359,1313,67434,2410,1676,3158,623,112,592,1183,317,97,173,2941,149453,196,4035,153684,231286,
9,CIUDAD DE MEXICO,10,VENUSTIANO CARRANZA,206,435,15766,21561,46839,5371,3355,3002,944,63893,2182,1324,2706,612,70,438,1860,800,110,292,1816,172941,188,3745,176874,253634,
