ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PH,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,0,VOTO EN EL EXTRANJERO,0,0,4759,2257,644,578,837,289,145,9683,437,529,444,20602,63,174,20839,28803,
9,CIUDAD DE MEXICO,1,GUSTAVO A MADERO,143,376,10453,10976,29760,4270,5574,3746,1068,75010,4478,1274,1609,148218,171,4217,152606,229079,
9,CIUDAD DE MEXICO,2,GUSTAVO A MADERO,263,487,27746,28024,21295,8565,5276,3418,1599,75180,3865,1827,2374,179169,213,3678,183060,253806,
9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,198,413,24509,19011,20633,6044,5724,4201,1219,74766,3931,1674,2197,163909,194,3730,167833,234908,
9,CIUDAD DE MEXICO,4,GUSTAVO A MADERO,219,475,15587,19231,36970,6262,5659,4217,1390,85833,4567,1768,2028,183512,234,4470,188216,273883,
9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,222,461,30155,26070,18252,8374,5613,4569,1432,78253,3686,2006,2558,180968,235,3827,185030,257427,
9,CIUDAD DE MEXICO,6,GUSTAVO A MADERO,233,499,19508,25060,39657,7585,5732,4575,1374,91234,4463,1902,2474,203564,206,4453,208223,288345,
9,CIUDAD DE MEXICO,7,MILPA ALTA,95,326,12424,15522,15984,4493,5051,11259,801,62664,3423,1110,1465,134196,111,3708,138015,204810,
9,CIUDAD DE MEXICO,8,TLAHUAC,94,311,12776,13992,17611,6139,4349,4179,955,59096,2817,1464,1838,125216,95,3147,128458,194334,
9,CIUDAD DE MEXICO,9,CUAUHTEMOC,184,401,16353,24242,15002,6337,4793,3887,1313,69095,3814,1676,2941,149453,196,4035,153684,231286,
9,CIUDAD DE MEXICO,10,VENUSTIANO CARRANZA,206,435,16841,21561,48005,5371,4598,3823,944,65320,3338,1324,1816,172941,188,3745,176874,253634,
