ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PH,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,0,VOTO EN EL EXTRANJERO,0,0,4610,2257,492,578,530,147,145,9373,174,529,698,119,30,33,367,34,17,25,444,20602,63,174,20839,28803,
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,347,689,39720,33963,30820,10792,6383,5587,2083,115741,3935,2790,4869,1155,156,687,2870,875,240,340,3530,266536,354,5916,272806,378726,
9,CIUDAD DE MEXICO,3,COYOACAN,403,958,55498,56793,78187,16573,8985,6231,2426,155879,4881,4298,5706,1337,203,830,3870,1571,260,446,5006,408980,450,8618,418048,563976,
9,CIUDAD DE MEXICO,4,CUAJIMALPA DE MORELOS,75,249,23905,25415,10176,3833,2405,2050,715,36608,1516,985,1418,306,60,260,690,323,82,83,1059,111889,117,2755,114761,160351,
9,CIUDAD DE MEXICO,5,GUSTAVO A MADERO,858,1837,69727,83291,123856,26682,15770,12968,5431,319835,11222,6771,14422,2932,397,2293,6570,2208,544,1059,8485,714463,824,16818,732105,1045113,
9,CIUDAD DE MEXICO,6,IZTACALCO,299,627,23415,28140,50754,9570,5377,3867,1764,109458,3297,2194,4111,1062,108,579,2284,948,159,307,2964,250358,268,5336,255962,357004,
9,CIUDAD DE MEXICO,7,IZTAPALAPA,1003,2453,76140,93122,217509,31458,27894,22236,6160,446435,15074,8557,21702,5416,704,3330,8114,3345,758,1657,10568,1000179,926,27855,1028960,1470405,
9,CIUDAD DE MEXICO,8,LA MAGDALENA CONTRERAS,147,342,16007,25446,9743,6346,3249,5839,886,60060,1749,1363,2403,551,61,404,877,257,128,136,1718,137223,116,3566,140905,196534,
9,CIUDAD DE MEXICO,9,MILPA ALTA,44,163,5096,8823,6143,2000,1917,8233,322,30390,1177,466,1873,369,37,240,901,118,152,181,695,69133,52,1975,71160,104842,
9,CIUDAD DE MEXICO,10,ALVARO OBREGON,445,1038,60872,55848,78046,15264,9731,9069,2496,159268,5657,3689,6943,1617,222,1095,4445,1575,314,592,4081,420824,440,10634,431898,606598,
9,CIUDAD DE MEXICO,11,TLAHUAC,145,474,18579,20691,25842,8632,4933,5761,1434,88484,2734,2108,3702,877,102,565,2137,557,198,335,2608,190279,154,4880,195313,294302,
9,CIUDAD DE MEXICO,12,TLALPAN,354,905,57263,49928,40302,17973,8433,9381,2278,157136,4312,3927,6450,1607,214,1070,3743,1174,380,469,4728,370768,399,9147,380314,539660,
9,CIUDAD DE MEXICO,13,XOCHIMILCO,171,539,22416,28668,25688,9545,6852,5608,1835,98969,3583,2879,5218,1272,145,796,1996,640,187,307,4258,220862,209,5531,226602,340509,
9,CIUDAD DE MEXICO,14,BENITO JUAREZ,254,617,63681,55551,14465,15111,5168,3133,1719,92553,2960,2916,2629,588,78,360,1963,560,166,66,3799,267466,234,4445,272145,367723,
9,CIUDAD DE MEXICO,15,CUAUHTEMOC,389,833,39385,51703,28520,14022,6899,6200,2528,138703,4515,3745,5909,1213,178,1004,2549,715,194,290,5410,313682,395,7730,321807,478442,
9,CIUDAD DE MEXICO,16,MIGUEL HIDALGO,257,555,50330,40651,14581,9971,5110,3959,1488,81239,2651,2275,3001,754,124,480,1724,573,170,163,2985,222229,238,4443,226910,319499,
9,CIUDAD DE MEXICO,17,VENUSTIANO CARRANZA,336,697,24039,31681,75602,8163,5526,5004,1522,105849,3467,2077,4421,989,127,699,2900,1207,178,449,2807,276707,311,5998,283016,404572,
