Date,FIX,"Published in
DOF","In order to pay
obligations"
,,,
01/01/1993,N/E,N/E,3.1209
01/02/1993,N/E,N/E,N/E
01/03/1993,N/E,N/E,N/E
01/04/1993,3.1170,N/E,N/E
01/05/1993,3.1180,3.1170,N/E
01/06/1993,3.1124,3.1180,3.1170
01/07/1993,3.1063,3.1124,3.1180
01/08/1993,3.1108,3.1063,3.1124
01/09/1993,N/E,N/E,3.1063
01/10/1993,N/E,N/E,3.1063
01/11/1993,3.1169,3.1108,3.1063
01/12/1993,3.1096,3.1169,3.1108
01/13/1993,3.1130,3.1096,3.1169
01/14/1993,3.1130,3.1130,3.1096
01/15/1993,3.1103,3.1130,3.1130
01/16/1993,N/E,N/E,3.1130
01/17/1993,N/E,N/E,3.1130
01/18/1993,3.1095,3.1103,3.1130
01/19/1993,3.1082,3.1095,3.1103
01/20/1993,3.1051,3.1082,3.1095
01/21/1993,3.1051,3.1051,3.1082
01/22/1993,3.1044,3.1051,3.1051
01/23/1993,N/E,N/E,3.1051
01/24/1993,N/E,N/E,3.1051
01/25/1993,3.1044,3.1044,3.1051
01/26/1993,3.0989,3.1044,3.1044
01/27/1993,3.0939,3.0989,3.1044
01/28/1993,3.1030,3.0939,3.0989
01/29/1993,3.1140,3.1030,3.0939
01/30/1993,N/E,N/E,3.1030
01/31/1993,N/E,N/E,3.1030
02/01/1993,3.1019,3.1140,3.1030
02/02/1993,3.0999,3.1019,3.1140
02/03/1993,3.1017,3.0999,3.1019
02/04/1993,3.1012,3.1017,3.0999
02/05/1993,N/E,3.1012,3.1017
02/06/1993,N/E,N/E,3.1012
02/07/1993,N/E,N/E,3.1012
02/08/1993,3.0981,N/E,3.1012
02/09/1993,3.0977,3.0981,N/E
02/10/1993,3.0975,3.0977,3.0981
02/11/1993,3.1009,3.0975,3.0977
02/12/1993,3.0967,3.1009,3.0975
02/13/1993,N/E,N/E,3.1009
02/14/1993,N/E,N/E,3.1009
02/15/1993,3.1000,3.0967,3.1009
02/16/1993,3.0977,3.1000,3.0967
02/17/1993,3.0986,3.0977,3.1000
02/18/1993,3.0943,3.0986,3.0977
02/19/1993,3.0950,3.0943,3.0986
02/20/1993,N/E,N/E,3.0943
02/21/1993,N/E,N/E,3.0943
02/22/1993,3.0940,3.0950,3.0943
02/23/1993,3.0939,3.0940,3.0950
02/24/1993,3.0938,3.0939,3.0940
02/25/1993,3.0974,3.0938,3.0939
02/26/1993,3.0987,3.0974,3.0938
02/27/1993,N/E,N/E,3.0974
02/28/1993,N/E,N/E,3.0974
03/01/1993,3.0939,3.0987,3.0974
03/02/1993,3.0939,3.0939,3.0987
03/03/1993,3.0948,3.0939,3.0939
03/04/1993,3.0961,3.0948,3.0939
03/05/1993,3.1010,3.0961,3.0948
03/06/1993,N/E,N/E,3.0961
03/07/1993,N/E,N/E,3.0961
03/08/1993,3.1021,3.1010,3.0961
03/09/1993,3.1130,3.1021,3.1010
03/10/1993,3.1174,3.1130,3.1021
03/11/1993,3.1197,3.1174,3.1130
03/12/1993,3.1196,3.1197,3.1174
03/13/1993,N/E,N/E,3.1197
03/14/1993,N/E,N/E,3.1197
03/15/1993,3.1182,3.1196,3.1197
03/16/1993,3.1200,3.1182,3.1196
03/17/1993,3.1190,3.1200,3.1182
03/18/1993,3.1169,3.1190,3.1200
03/19/1993,3.1124,3.1169,3.1190
03/20/1993,N/E,N/E,3.1169
03/21/1993,N/E,N/E,3.1169
03/22/1993,3.1172,3.1124,3.1169
03/23/1993,3.1149,3.1172,3.1124
03/24/1993,3.1119,3.1149,3.1172
03/25/1993,3.1114,3.1119,3.1149
03/26/1993,3.1049,3.1114,3.1119
03/27/1993,N/E,N/E,3.1114
03/28/1993,N/E,N/E,3.1114
03/29/1993,3.0976,3.1049,3.1114
03/30/1993,3.0937,3.0976,3.1049
03/31/1993,3.0937,3.0937,3.0976
04/01/1993,3.0940,3.0937,3.0937
04/02/1993,3.0937,3.0940,3.0937
04/03/1993,N/E,N/E,3.0940
04/04/1993,N/E,N/E,3.0940
04/05/1993,3.0937,3.0937,3.0940
04/06/1993,3.0940,3.0937,3.0937
04/07/1993,3.0985,3.0940,3.0937
04/08/1993,N/E,3.0985,3.0940
04/09/1993,N/E,N/E,3.0985
04/10/1993,N/E,N/E,N/E
04/11/1993,N/E,N/E,N/E
04/12/1993,3.0962,N/E,N/E
04/13/1993,3.1007,3.0962,N/E
04/14/1993,3.0989,3.1007,3.0962
04/15/1993,3.0940,3.0989,3.1007
04/16/1993,3.0940,3.0940,3.0989
04/17/1993,N/E,N/E,3.0940
04/18/1993,N/E,N/E,3.0940
04/19/1993,3.0936,3.0940,3.0940
04/20/1993,3.0935,3.0936,3.0940
04/21/1993,3.0934,3.0935,3.0936
