DATE,MKTGDPMXA646NWDB
1960-01-01,13040000000.0
1961-01-01,14160000000.0
1962-01-01,15200000000.0
1963-01-01,16960000000.0
1964-01-01,20080000000.0
1965-01-01,21840000000.0
1966-01-01,24320000000.0
1967-01-01,26560000000.0
1968-01-01,29360000000.0
1969-01-01,32480000000.0
1970-01-01,35520000000.0
1971-01-01,39200000000.0
1972-01-01,45200000000.0
1973-01-01,55280000000.0
1974-01-01,72000000000.0
1975-01-01,88000000000.0
1976-01-01,88875923765.072
1977-01-01,81912018783.5024
1978-01-01,102648570299.117
1979-01-01,134531900898.926
1980-01-01,205577055465.993
1981-01-01,263797827860.494
1982-01-01,184602611609.517
1983-01-01,156167000432.994
1984-01-01,184230754105.394
1985-01-01,195241069482.077
1986-01-01,134556034672.991
1987-01-01,147542558208.888
1988-01-01,181611150496.787
1989-01-01,221403098266.77
1990-01-01,261253675692.838
1991-01-01,313139656145.745
1992-01-01,363157832923.734
1993-01-01,530160763983.506
1994-01-01,553618247900.74
1995-01-01,380157469866.849
1996-01-01,432157945024.428
1997-01-01,523449530464.257
1998-01-01,557461102630.658
1999-01-01,631249359702.389
2000-01-01,742061329643.37
2001-01-01,796064590656.176
2002-01-01,810666116505.478
2003-01-01,765549967703.273
2004-01-01,819459227375.022
2005-01-01,917571853529.104
2006-01-01,1020265057882.01
2007-01-01,1102355554971.95
2008-01-01,1161553459715.1
2009-01-01,943437415024.633
2010-01-01,1105424238731.09
2011-01-01,1229013703416.76
2012-01-01,1255110424817.79
2013-01-01,1327436290282.67
2014-01-01,1364507717614.13
2015-01-01,1213294467716.88
2016-01-01,1112233497452.7
2017-01-01,1190721475906.0
2018-01-01,1256300182879.73
2019-01-01,1305211135822.61
2020-01-01,1120832412468.85
2021-01-01,1313069763986.6
2022-01-01,1463323889036.56
2023-01-01,1788886821046.81
