Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,21.52842965,21.69819976,24.94928509,17.98987333,12.95596165,12.34348522,13.2516842,9.890092608,12.55724864,10.55019437,7.027464406,5.464408008,5.621344655,5.001380451,5.405313639,6.84716125,7.331010591,7.774171091,8.086044517,8.575948428,8.950256168,9.933361947,10.22830757,11.63644231,11.88269796,11.59390559,14.52459776,13.95472974,17.56528514,19.20890098,19.73488814,18.31327123,18.07460018,24.30246966,30.25061585,42.02664477,45.72256628,46.38770854,44.36911288,41.52353385,41.87805644,39.04235898,36.72286754,33.42960256,31.34757724,27.97003812,24.80695022,24.35445929,24.30861812,23.12377755,26.30515116,25.32486311,
Afghanistan,AFG,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.900322,171.9967932,211.9363509,255.2835756,277.1540762,281.6590952,297.5869891,268.6633974,280.499616,294.2340214,306.3611823,319.2583924,320.6813959,,,
Africa Western and Central,AFW,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.882134661,,,4.636586749,4.803980428,9.124201975,14.28153994,12.05347085,10.12905602,16.31838923,16.85191574,13.01833389,12.48173001,23.70683332,44.85919029,95.80442945,107.7708209,117.907196,95.76829087,75.71965431,71.85650081,80.46927054,69.36385612,55.15490192,43.12737671,36.98201608,40.9129674,40.6601451,36.08817327,,,,
Angola,AGO,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98517359,5.26930407,3.945551559,1.877236485,4.604038731,12.27240845,8.33853369,4.118263386,6.958062321,14.07572243,26.12153623,82.27088084,93.76138801,114.5766855,67.38624366,73.43997411,77.97032832,86.16479968,72.66605528,58.86278918,48.779569,41.21626875,29.71327907,24.93936515,26.22296905,21.07743611,21.89264129,22.71751605,
Albania,ALB,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.18353521,25.318879,57.81643099,65.72774137,66.30029579,67.01832713,67.66486588,57.60037181,66.75688438,73.40380745,66.97017787,86.54200725,67.7083365,72.01946527,72.8757987,55.52849375,51.44100465,46.73300531,38.1142608,35.20715123,32.07197082,31.30961218,37.15520967,36.50218012,36.61276656,40.34323063,40.58054563,45.97898081,50.9690045,50.37272885,
Andorra,AND,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,33.2286672,41.73562765,57.10099289,79.4975497,41.55297335,35.98402132,24.54701834,24.44010389,32.64824399,33.0257365,23.84176823,22.1663411,17.40301154,12.14484382,12.8626389,11.03150318,11.92194099,10.26583691,10.15411085,12.15577217,16.00921701,20.79388752,25.20211467,26.96747813,27.56717427,31.35736378,36.56440674,33.63853992,32.97816904,37.36365763,44.59817031,50.57020893,63.98702744,71.86137965,92.14565723,123.4417382,142.7272139,157.9700572,160.3540198,165.577408,156.5521759,145.5233711,131.6643653,124.974559,116.0863395,95.57101217,89.50422804,89.79888657,82.74607549,68.71041842,66.36600137,73.57705127,
United Arab Emirates,ARE,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,4.78941024,8.303830743,21.65881379,24.22995787,10.73488049,20.87347315,32.92247467,43.92562326,54.90199902,34.02605327,13.98017823,10.28606703,6.160003224,5.280192789,9.192619695,8.403039008,6.358650037,8.739234669,4.90838137,9.958833618,11.36329325,16.6852628,23.96273788,21.31096042,16.17793725,17.74162356,17.48487173,17.56533611,17.3454705,16.76104655,9.535250238,7.074171519,8.661925641,11.70216335,21.47109343,26.92731676,38.19748867,35.74920935,35.90780889,41.22437233,32.37982721,30.90076819,20.32545454,20.42398395,14.40337652,21.1488846,24.48349104,23.83550928,15.98966838,15.41869658,16.09923594,18.08591276,
Armenia,ARM,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.14535717,16.84707091,29.99600892,32.31266805,37.46771158,36.45208252,29.68051777,30.85179947,23.37117462,25.0632144,25.14750132,25.98581921,33.98679975,50.1157713,53.8327542,38.94269014,40.60060695,29.58258774,26.07645479,23.55027464,25.93695209,17.4088736,20.10292411,22.3640248,22.62462888,21.06450388,23.97785371,20.75821143,23.4021313,27.94184485,
American Samoa,ASM,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.660313969,1.803156745,37.66007331,48.74661669,91.98099491,63.47844133,52.17660224,42.87147663,47.70224112,42.33966978,40.97664497,49.03289934,51.88170883,88.65346583,108.8855583,142.997641,117.1214456,87.97001222,133.0451692,103.8747315,143.2067125,128.7672055,53.01116702,45.85270197,45.50835558,40.3808559,42.74373776,47.18392555,52.97875482,74.21835723,
Burundi,BDI,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,130.0735826,269.0094407,277.494676,152.243067,159.1835299,219.8003146,203.096052,111.6222751,71.02250982,63.15128342,38.15264934,16.42582921,10.88921015,7.195503984,7.713511807,13.28907209,8.974800735,9.547909762,11.98485772,12.31270919,15.30643319,17.52527262,15.92572681,18.74246692,18.59875282,12.90833143,11.0424585,6.28267407,4.592181806,3.343804336,1.643720081,4.796705908,4.996247181,4.873113009,7.809285431,9.558882874,12.56488143,19.17135234,53.21063442,53.48608442,48.82964936,46.50470868,48.41203335,45.8871871,21.71404489,15.76160983,16.03304669,11.63226115,17.80930604,13.63374904,27.27564093,16.61239193,
Belgium,BEL,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,184.6167777,28.76423478,10.99019833,8.822644954,14.48940281,10.35706367,11.3919994,13.94121796,8.710277042,3.793557963,4.220951574,10.21046109,7.363758813,5.454747964,5.494921508,8.998299637,10.47606429,4.972373982,5.365907758,10.0629229,13.80315114,17.32059848,20.49508684,15.10145442,12.32428324,11.29753213,12.48289294,9.935619437,9.716242238,8.716522499,10.31745796,14.23302584,16.34243477,15.26774972,19.23107167,24.51956443,24.78852283,40.75036406,42.05529005,33.92265376,43.74481093,55.73213259,63.2793433,71.03248319,77.66278268,65.46427768,56.06674169,52.34162454,58.69644028,50.46649395,34.78674992,
Bulgaria,BGR,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.707941883,10.4836145,8.642485411,14.21297721,15.75504077,8.33553038,22.39174352,26.80449931,27.67880125,29.20567056,32.33873074,39.35871326,47.86709357,56.17902521,46.99256995,41.97480884,40.03554833,33.78803191,33.263532,33.97259355,36.06181604,39.87488822,38.49465724,42.76097493,54.86335061,62.9495633,69.22767255,71.59243265,68.89082633,80.78171168,87.18694439,86.82941737,
Bahrain,BHR,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.78106604,17.79252956,46.25117486,42.19789083,40.43966321,43.99469358,36.35475099,42.60241495,43.58160086,34.17469453,32.66589735,30.87039058,34.40665117,33.77379188,36.16830994,37.15082212,41.25134686,44.16193618,49.68887401,52.63230778,56.74173174,62.79535163,72.73677274,68.00033168,
Belarus,BLR,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.791503198,22.25959491,23.94937034,18.90652659,29.44740385,10.88578082,13.37670182,13.95905209,20.22241,16.84165268,18.18941219,25.31650723,21.1275443,33.35893486,20.21503821,25.5459693,17.68764843,23.17328567,23.98108997,16.81484356,12.66490981,10.90701514,13.08139153,18.4801835,18.46275362,23.06130016,17.87011444,20.22567908,19.9108526,
Belize,BLZ,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,59.90262396,38.80430696,41.95988871,14.56623293,20.10595182,17.15881198,14.0927573,9.246510437,6.148323016,12.54006906,22.06961927,26.54202922,39.05223757,43.63982406,48.88345739,32.77043689,29.25628524,19.91559851,17.37670912,14.73929387,20.74360293,13.20079155,13.22046256,17.11691018,19.51075514,15.51864319,13.47882334,7.97603665,4.995937707,6.974208884,10.78715761,10.0895181,13.02438755,16.54961194,16.71935152,18.60173716,24.15037802,32.25421763,37.84926431,34.15695234,29.19751,23.31275533,21.83028942,20.15048276,22.81055803,28.96852526,32.90561843,
Bermuda,BMU,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,8.120590766,8.71977328,11.80381753,26.65557278,18.22782261,15.20061877,17.20977946,14.09251851,20.0426844,19.87157686,12.96756578,16.43933103,12.21672315,12.08240288,10.05458137,9.053072087,8.936103289,9.456341997,13.31836071,11.69185296,10.15566152,11.06949809,13.00887375,15.97902985,18.76154587,24.6737756,25.57932384,21.42788476,22.07863411,20.09427136,23.90516492,17.48048022,18.70592583,20.23119486,25.76173032,51.0566047,104.9133455,135.4097877,148.3407588,168.4528025,194.0257968,210.428882,177.2223853,170.2977583,131.878237,91.44438927,78.87547265,67.40156666,45.1393748,34.02847441,29.51630421,23.55299511,
Brazil,BRA,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,22.70001523,35.56075663,43.20235624,24.31893318,14.99730742,19.72365119,17.5103295,22.15077109,15.92144941,9.551063898,9.131032066,4.23319945,4.606517297,11.46056914,11.15253273,7.464241431,6.752017849,7.72155032,8.421011048,8.309727812,7.740140315,18.33517859,22.30131763,25.38259646,32.20739798,33.08834868,26.23803579,18.38325825,14.82664435,13.61389956,15.59683841,16.31088417,20.89682854,23.98568285,28.5612586,44.17989077,75.62919605,73.69386983,84.69323653,81.89664251,87.12130079,84.71370246,74.17626295,65.28235059,65.59932178,67.18438705,68.86836002,67.18051825,62.75379106,64.73948102,63.37807463,56.11372272,
Barbados,BRB,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,2011.218501,1575.715639,603.6733898,291.1277992,216.0613649,142.6271448,121.8966675,106.330094,117.3272759,95.42720953,101.3864202,116.1633975,123.3419936,168.1445716,157.7637518,150.1403661,152.2050679,150.1297083,118.5725534,91.94392655,74.26599493,66.29117938,71.18864347,75.62269114,87.24613998,110.34913,113.2661223,107.2231666,73.76454635,65.85582903,64.86969948,67.62528049,54.85440415,49.23317151,46.25233556,38.68557603,45.80107446,46.98811883,31.81174169,,
Botswana,BWA,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,43.4754614,52.10839373,117.0446614,200.8289413,246.2855461,148.36225,134.7857441,164.9252287,170.0269155,219.3893447,285.3522407,370.4350703,416.2852251,507.6016863,602.5199645,607.0699077,625.6168547,617.0837665,628.4237097,654.738924,802.4599705,987.4253201,1116.312827,1220.880822,1396.492138,1473.013046,1114.056787,1038.611392,1097.609869,1369.928922,2191.308452,2302.44162,2033.101281,529.6632169,436.3851595,337.4216786,301.93365,323.4986721,332.9731202,337.3874601,338.0669779,430.1463886,373.5563937,394.2390445,309.30308,242.3185107,217.3732618,
Central African Republic,CAF,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,0.741178877,4.668588126,3.175294113,2.542210613,4.8369557,19.9081375,19.9110005,18.30197108,31.64697457,31.69445708,31.62416594,20.34877797,19.82917982,21.27968533,15.5019165,15.08965482,16.52546691,16.89913819,16.94438037,17.59606561,13.46175542,12.75734436,13.29252654,24.12885094,25.15330372,25.33845885,20.5883096,16.20589472,15.09502959,15.68591209,14.59346461,11.7252718,12.87802686,13.71820762,13.87122551,12.62221151,8.920437513,13.16364763,38.24603414,28.56237754,27.05102,27.35637585,32.40523129,39.23313283,30.95746511,34.52075346,50.24724208,46.12224172,41.29338867,48.10151193,43.27849314,36.77021388,
Canada,CAN,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,432.0472858,502.183633,428.573035,177.6723978,100.6318967,117.9685015,65.15369027,25.72374674,17.52628118,20.72694034,20.88200378,23.9710579,,,,,,,18.98885571,23.59752633,18.06728842,29.09396599,24.74902544,21.29144149,34.55218676,31.85224502,27.53047933,29.66704662,35.40979624,41.69829907,43.98789026,54.91850872,52.79231987,51.1806829,44.8651862,37.8316248,37.15637652,39.29859605,38.99835419,39.02266539,39.12793909,39.84664822,44.47472355,47.8499783,46.9719263,46.40676789,44.02296302,47.58117723,87.18694439,86.82941737,
Switzerland,CHE,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,174.3069217,205.162268,206.3288407,176.0406778,101.0888607,69.21544128,63.53513759,55.96629882,51.3049177,62.34137832,79.92975335,34.26111844,31.76586097,57.39828503,67.85997919,86.58668903,99.68917565,105.9831198,108.4585432,117.721047,119.3913938,160.5360997,200.8873439,251.8396412,290.8480507,331.0940728,409.3628405,508.7784465,539.6969718,392.2936172,308.7312199,295.0372843,262.1026302,219.3028525,255.3105822,219.0854421,189.1304587,161.5149347,152.4431237,144.320949,126.8547955,138.4343221,
Cote d'Ivoire,CIV,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,40.8674075,19.69498227,19.2377381,24.26778878,6.530867344,7.170130937,4.0312147,3.640939912,6.487352373,8.021113724,3.665104509,2.882586166,5.885353755,2.178999846,4.500219505,1.70990201,1.706066205,3.909520356,1.712954794,0.56495284,0.792474696,0.403897804,0.182718152,0.146827976,0.140340685,0.124910125,0.088875288,0.087574837,0.121890468,2.085158093,3.488776148,6.221430578,5.716398919,7.760197608,12.5290161,50.76008271,95.01526453,109.779668,113.5359071,114.1830439,103.3671251,86.95448301,67.05304035,54.95090163,48.40932534,28.20840141,31.81305961,31.437578,28.78401167,26.91356993,27.96860408,34.00664688,
"Congo, Dem. Rep.",COD,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,37.47192288,32.15369839,32.21452041,13.78264297,4.138675328,2.923150245,4.826731593,4.349298134,7.415554549,7.960718381,5.772251879,4.45383511,5.049439341,5.312858854,5.432007041,6.274313743,4.765966154,4.343768224,3.047509712,2.542745342,1.782732979,1.510329622,0.486469876,1.067448867,1.190008458,0.643530735,0.797471776,0.625371524,0.678692256,0.698892085,0.710460846,0.734791423,0.85500701,2.049961505,1.228008017,1.36411482,1.450121512,0.589049503,7.34675584,21.2104907,22.77841239,28.11588845,26.13116253,25.3141385,20.27669588,12.44408768,11.94912468,11.41880366,18.41094762,10.55347854,37.74260801,,
"Congo, Rep.",COG,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,7.73021902,6.535446645,4.155310965,9.252238598,3.867543509,3.190882981,2.49730071,1.449684917,4.548209468,6.065157992,8.563139044,2.155204678,0.578267581,0.365352563,0.249663207,0.318379798,0.204817512,0.22853769,0.24945913,0.207331597,0.181645108,0.163241712,0.111610222,1.008964811,1.058327736,1.82158031,1.2548262,0.079276007,0.846890395,4.813126859,1.493369155,0.70722522,0.712239008,1.821303518,11.71675562,27.6414778,41.34649204,74.11065799,75.30794999,159.0262561,176.7369073,154.7837411,124.8484094,86.05911823,32.78142785,10.71574185,5.18570828,6.014238967,11.76951489,13.86839048,10.03800479,10.58437611,
Colombia,COL,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,7.795949397,11.36312352,16.96238179,14.54039974,16.07724655,31.31168328,38.84937149,53.14576743,83.04598861,90.7247805,68.10354203,53.28332094,30.17313461,14.5469748,15.18068234,22.33904806,19.81930563,21.49302026,22.61954939,27.96204378,39.33944163,45.02989488,41.85827625,36.46644733,33.34496919,34.02659837,30.69159919,26.19310934,23.25421598,26.23381188,27.97844188,32.29299934,29.25778217,35.40186923,39.88164049,39.97060346,47.26962896,50.32022803,46.55045879,43.57479692,41.87815809,46.68761948,46.58845718,44.75015641,40.77467158,38.21569848,37.37907897,35.92864567,37.89557676,37.56511902,33.71081304,30.7976166,
Comoros,COM,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,14.49065478,15.29790084,15.71027063,12.83726799,3.516658535,8.891818334,10.66791159,15.22040593,11.89825401,17.7474901,16.18512953,16.36845727,14.51942274,21.07979103,22.52597847,21.47727539,23.05039313,18.29122849,17.10251305,16.11679546,18.6713082,25.73855481,29.62084754,32.60097524,34.17832055,29.82958525,31.99829116,40.89553107,40.79052262,52.6209863,52.47469991,56.60132175,77.29033063,122.0943218,125.1224432,159.6800646,91.08922166,114.442184,82.99652255,77.92833736,99.22491831,94.11330994,76.95401539,
Cabo Verde,CPV,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,96.07136661,72.41818947,64.02355015,53.75729372,58.32108154,49.74273355,62.32018005,65.40503549,59.29625732,57.54483755,48.49522016,53.35141278,39.09310543,23.91923976,17.22966149,13.6037359,9.35616961,3.370551212,13.23546689,8.819670453,13.15800342,19.88258923,20.98264742,30.02347448,36.52329612,48.55756178,62.77541314,57.72931372,54.9109288,43.19043642,32.51183562,30.09443567,31.83816363,32.93977634,31.89143355,36.90094401,34.48194109,34.27701004,40.496852,35.467056,37.35575441,36.27456976,
Costa Rica,CRI,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,8.148942588,10.16907733,10.59578177,8.139976119,6.539709325,9.619015399,14.31177357,11.87697741,7.30533775,6.873768232,4.169242564,6.63137871,8.008218725,10.02399094,11.63331813,11.73825604,10.74435613,14.60727887,15.91480139,13.64790503,22.67077336,25.70391643,26.35350857,22.81639856,27.47132357,28.36896357,36.01140962,26.85910005,34.66021285,28.09423472,27.2250723,29.62785986,32.5613985,33.66740805,35.67518028,44.56972229,48.92852884,42.99834055,52.39834255,56.74539629,46.30143648,47.91418115,42.78414531,36.56525457,33.21041495,29.62838579,27.91169508,26.44030612,29.98940276,23.12660123,20.29212675,21.96372209,
Caribbean small states,CSS,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,18.4581175,24.97513695,10.12159384,29.49987394,31.32559383,10.73264777,8.563781484,13.42050634,6.230486445,4.857267103,5.002056944,3.977699354,3.071839808,3.617196929,3.961101229,5.922225908,6.38278988,6.138380664,7.726463988,8.223114427,11.30446171,15.14478473,16.25132983,15.4097822,16.06352184,22.11641612,21.06772855,20.84095954,21.52732497,23.09880905,21.69919074,20.40560268,17.42775754,17.70756854,18.15755665,21.6058725,24.79845747,21.98028477,31.00454476,34.22119197,31.80427741,35.73381919,33.43191276,33.77059356,28.97622572,29.44644586,28.18352571,27.50817832,27.17179972,27.71386657,34.85600237,36.69492893,
Cuba,CUB,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,CZE,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,72.45505971,53.07631322,44.95445585,41.14403155,40.66086373,45.06862476,60.30049263,48.81546198,37.91277849,32.3028211,28.61943906,26.46846196,26.73881208,25.31944625,23.79450828,26.18861677,22.76199245,23.4586749,20.54786253,25.30885572,20.40660171,18.3336013,21.23510321,16.31304846,20.76299157,26.90973935,32.39877447,31.72263082,30.98634287,51.78669335,41.68664323,29.72369073,23.93399594,24.53049858,19.56569227,19.66081271,23.66385373,18.35050347,18.59397723,
Dominica,DMA,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,21.18003054,21.09720187,3.776867911,10.19731926,5.573474516,15.62276025,24.44500016,18.34531194,14.49347236,15.93631179,18.11282753,20.88738819,20.26955563,15.46144579,21.09558595,19.65609255,22.72945169,24.28935105,23.53158479,16.02185945,13.40734862,18.28063531,15.52902389,13.02400913,16.71291254,23.10883564,22.79323292,21.17323184,27.75601188,28.03986641,28.92540954,31.02667268,28.09337734,32.9127967,39.79192196,73.92776553,70.8303412,68.74631324,55.82896348,50.38824825,50.49035764,50.99253832,
Denmark,DNK,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,12.85448382,12.66005312,18.20019572,16.48146406,17.08795373,15.42861791,16.5868519,12.62243987,17.6198169,13.40453282,11.87343708,6.564592969,6.68287412,8.134567974,9.682117629,10.18912641,4.758404363,6.418987399,4.116151083,1.528095818,9.745326384,10.72452261,13.27845574,5.9340488,8.220516125,8.086661923,9.193961888,11.33557785,14.58451375,13.68852692,21.19059616,7.219608086,3.841552263,10.569432,24.89547627,24.67964755,28.32888987,25.39750801,30.20263828,28.70263035,27.25269592,16.10132563,19.6204217,18.50740054,19.70275561,21.68228463,23.3329352,24.22025344,25.27649296,26.73787875,29.90713627,30.10384037,
