Disney,,,Citigroup,,,Johnson&Johnson,
Date,Dividend Per Share,,Date,Dividend Per Share,,Date,Dividend Per Share
11-dic-14,1.15,,29-ene-15,0.01,,21-nov-14,0.7
1-jul-15,0.66,,7-may-15,0.05,,20-feb-15,0.7
10-dic-15,0.71,,30-jul-15,0.05,,21-may-15,0.75
7-jul-16,0.71,,29-oct-15,0.05,,21-ago-15,0.75
8-dic-16,0.78,,28-ene-16,0.05,,20-nov-15,0.75
6-jul-17,0.78,,28-abr-16,0.05,,19-feb-16,0.75
8-dic-17,0.84,,28-jul-16,0.16,,20-may-16,0.8
6-jul-18,0.84,,3-nov-16,0.16,,19-ago-16,0.8
7-dic-18,0.88,,2-feb-17,0.16,,18-nov-16,0.8
5-jul-19,0.88,,27-abr-17,0.16,,24-feb-17,0.8
13-dic-19,0.88,,3-ago-17,0.32,,25-may-17,0.84
8-dic-23,0.3,,3-nov-17,0.32,,25-ago-17,0.84
8-jul-24,0.45,,2-feb-18,0.32,,27-nov-17,0.84
,,,4-may-18,0.32,,26-feb-18,0.84
,,,3-ago-18,0.45,,25-may-18,0.9
,,,2-nov-18,0.45,,27-ago-18,0.9
,,,1-feb-19,0.45,,26-nov-18,0.9
,,,3-may-19,0.45,,25-feb-19,0.9
,,,2-ago-19,0.51,,24-may-19,0.95
,,,1-nov-19,0.51,,26-ago-19,0.95
,,,31-ene-20,0.51,,25-nov-19,0.95
,,,1-may-20,0.51,,24-feb-20,0.95
,,,31-jul-20,0.51,,22-may-20,1.01
,,,30-oct-20,0.51,,24-ago-20,1.01
,,,29-ene-21,0.51,,23-nov-20,1.01
,,,30-abr-21,0.51,,22-feb-21,1.01
,,,30-jul-21,0.51,,24-may-21,1.06
,,,29-oct-21,0.51,,23-ago-21,1.06
,,,4-feb-22,0.51,,22-nov-21,1.06
,,,29-abr-22,0.51,,18-feb-22,1.06
,,,29-jul-22,0.51,,23-may-22,1.13
,,,4-nov-22,0.51,,22-ago-22,1.13
,,,3-feb-23,0.51,,21-nov-22,1.13
,,,28-abr-23,0.51,,17-feb-23,1.13
,,,4-ago-23,0.53,,22-may-23,1.19
,,,3-nov-23,0.53,,25-ago-23,1.19
,,,2-feb-24,0.53,,20-nov-23,1.19
,,,3-may-24,0.53,,16-feb-24,1.19
,,,5-ago-24,0.56,,20-may-24,1.24
,,,4-nov-24,0.56,,27-ago-24,1.24
